"SKU","DTC US","DTC CA","TikTok Shop","Amazon 1P","Home Depot US","Home Depot CA","Best Buy","Amazon 3P","Costco","Costco.com","ACE","Walmart 1P","New Channel 2","Modified","Modified By"
"WYZECPAN3","0.0064","0.0085","0.0101","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC4WH","0.0063","0.0034","0.009","0.0377",,,"0.0371","0.0513","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECGS","0.012",,"0.0136","0.015",,,"0.015",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC3","0.008",,"0.0189","0.0218",,,,"0.073","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECPAN3X2",,,,"0.0476",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECPAN3_BK","0.0097","0.0219","0.0083","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEMSD32C10","0.0073","0.0128","0.01","0.0218","0.0267","0.0267",,,"0.15",,,"0.15",,"12/10/2025 1:44 PM","Ran Rabinowitch"
"WYZEC4GY","0.0053","0.0021","0.0207",,"0.0255","0.0255","0.0371","0.0513","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WLPNL","0.0034","0.0038","0.0108",,,,,"0.1","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECFL2","0.032","0.032","0.046","0.055","0.062","0.062","0.055",,"0.13",,,"0.15",,"2/11/2026 12:40 AM","Marian Pan"
"WYZECGS-RB",,,,,"0.0222","0.0222",,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WVDWDV2","0.0446","0.04","0.061","0.18","0.061","0.061","0.139",,"0.15",,,"0.15",,"11/25/2025 3:22 PM","Meng Cheng"
"WYZEMSD128C10","0.0107","0.0106","0.0138","0.0218","0.0267","0.0267",,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECGSX2",,,,"0.0182",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WLPP1","0.01",,"0.05","0.03","0.03",,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECGSB","0.007","0.0089","0.0496","0.0182",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC3X2","0.0227","0","0.0145","0.0218",,,"0.0508","0.073","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC4BK","0.0052","0.0081","0.0108","0.0377","0.0255","0.0255","0.0371","0.0513","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC4WH-10",,,,,"0.0255","0.0255",,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECOP","0.0065","0.0111","0.0041","0.0472","0.0204","0.0204","0.0654",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WSCALX","0.0201",,"0.0066",,,,,"0.0607","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECFL2BL","0.032","0.032","0.046","0.055","0.062","0.062","0.055",,"0.13",,,"0.15",,"2/11/2026 12:42 AM","Marian Pan"
"WCVV2CD","0.0272",,"0.0389",,,,,"0","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WSES2-3PK","0.0381","0.0222","0.0511","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECPAN3BKX2","0","0",,"0.0476",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC4WHX2",,,,"0.0377",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WVDPC","0.0143","0","0.0201","0",,,"0.0877",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC3BK","0.0029",,,,,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEMSD256C10","0.0178","0.0071","0.0225","0.02","0.0267","0.0267",,,"0.15",,,"0.15",,"12/10/2025 1:44 PM","Ran Rabinowitch"
"WYZELS1","0.0332","0.0403","0.0451",,,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
