SKU,Product Name,Reference SKU,Default MSRP ,Default FOB,Default Tariff Rate,Modified,Modified By,Created,Preload
WYZECPAN3,WyzePan V3,,39.98,22,0.1,4/17/2025 13:16,Simon Zhu,3/21/2025 19:31,1
WYZEC4WH,Wyze Cam v4 White,,35.98,19.96,0.1,4/17/2025 13:13,Simon Zhu,3/21/2025 19:40,1
WYZECGS,Wyze Cam OG Standard,,29.98,11.19,0.1,4/17/2025 13:21,Simon Zhu,3/21/2025 19:40,1
WYZEC3,WYZE Cam v3,,35.98,17.35,0.075,3/21/2025 19:40,Simon Zhu,3/21/2025 19:40,1
WYZECPAN3X2,Wyze Cam Pan v3 (2-Pack),,78.96,44,0.1,4/17/2025 13:24,Simon Zhu,3/21/2025 19:40,1
WYZECPAN3_BK,Wyze Cam Pan v3 black,,39.98,22,0.1,4/17/2025 13:23,Simon Zhu,3/21/2025 19:40,1
WYZEMSD32C10,Wyze Micro SD 32G,,8.99,3.2,0,4/3/2025 15:37,Marian Pan,3/21/2025 19:40,1
WYZEC4GY,Wyze Cam v4 Grey,,35.98,19.96,0.1,4/17/2025 13:14,Simon Zhu,3/21/2025 19:40,1
WLPNL,Wyze Night light - 3pk,,24.99,9.6,0.289,4/9/2025 11:52,Marian Pan,3/21/2025 19:40,1
WYZECFL2,Floodlight Cam v2 WHT (Basic),,89.98,34.1,0.1,4/17/2025 13:25,Simon Zhu,3/21/2025 19:40,1
WYZECGS-RB,THD - Wyze Cam OG Standard,,0,11.19,0.1,4/17/2025 13:21,Simon Zhu,3/21/2025 19:40,1
WVDWDV2,Wyze Video Doorbell v2 (wired),,44.98,23.65,0.1,4/17/2025 13:26,Simon Zhu,3/21/2025 19:41,1
WYZEMSD128C10,Wyze 128GB Micro SD Card,,16.99,7.2,0,4/3/2025 15:36,Marian Pan,3/21/2025 19:41,1
WYZECGSX2,Wyze Cam OG (2 pack),,58.96,22.38,0.1,4/17/2025 13:22,Simon Zhu,3/21/2025 19:41,1
WLPP1,Wyze Plug 2-Pack CFH(12PK/CTN),WLPP1CFH-1,24.98,7.9,0.277,4/8/2025 15:58,Marian Pan,3/21/2025 19:41,1
WYZECGSB,Wyze Cam OG Black,,29.98,11.19,0.1,4/17/2025 13:22,Simon Zhu,3/21/2025 19:41,1
WYZEC3X2,WYZE CAM V3*2,,70.96,34.7,0.075,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZEC4BK,Wyze Cam v4 Black,,35.98,19.96,0.1,4/17/2025 13:14,Simon Zhu,3/21/2025 19:41,1
WYZEC4WH-10,Wyze Cam v4 White,,35.98,19.96,0.1,4/17/2025 13:14,Simon Zhu,3/21/2025 19:41,1
WYZECOP,Wyze Battery Cam Pro White 1-Pack (BCP),,89.98,44.99,0,4/10/2025 13:57,Marian Pan,3/21/2025 19:41,1
WSCALX,Black Scale X,,33.99,12.95,0,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZECFL2BL,Floodlight Cam v2 BLK (Basic),,89.98,34.1,0.1,4/17/2025 13:25,Simon Zhu,3/21/2025 19:41,1
WCVV2CD,Walmart Cost Down Stick Vac,,139.98,60,0.25,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WSES2-3PK,HMS Wyze Sense Entry Sensor v2 - 3 Pack,,49.98,18.97,0.377,12/15/2025 13:06,Marian Pan,3/21/2025 19:41,1
WYZECPAN3BKX2,Wyze Cam Pan v3 - Black - 2 Pack (Polybag),,78.96,42,0.075,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZEC4WHX2,Wyze Cam V4 White 2-pack,,0,39.92,0.1,4/17/2025 13:15,Simon Zhu,3/21/2025 19:41,1
WVDPC,Wyze Wireless Video Doorbell Pro,,99.98,49,0.25,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZEC3BK,Wyze Cam V3 Black,,35.98,17.25,0.075,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZEMSD256C10,Wyze 256GB Micro SD Card,,29.99,14,0,4/3/2025 15:36,Marian Pan,3/21/2025 19:41,1
WYZELS1,Wyze Lamp Socket Expansion Kit (Require Starter Kit),,16.98,6.47,0.277,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WSCALX-W,White Scale X,,33.99,12.95,0,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZEWMV2,Wyze Window Mount (for Cam V3/ PRO/ OG),,4.99,2.6,0,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WSP2W,Wyze Solar Panel - 2W,,24.99,11.15,0.025,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WLCKB1,Wyze Lock Bolt,,79.98,38,0.132,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WLPA19C4PK,Wyze Bulb COLOR 4 Pack,,44.99,26.78,0.027,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZECOP_RB2PK,Wyze Battery Cam Pro 2-Pack White THD (BCP),,159.98,89.98,0.075,4/10/2025 13:58,Marian Pan,3/21/2025 19:41,1
WYZECOPB,Wyze Battery Cam Pro Black 1-Pack (BCP),,89.98,45.59,0.075,4/10/2025 13:58,Marian Pan,3/21/2025 19:41,1
WLPA19V2-2PK,Wyze Bulb White - A19 (2-pack),,16.99,10.63,0.02,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZEC4BKX2,Wyze Cam v4 Black 2 pack,,0,39.92,0.1,4/17/2025 13:15,Simon Zhu,3/21/2025 19:41,1
WSCALS,Wyze Scale S Black,,23.99,8.1,0,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZEC4WHCP62PK,Wyze Cam v4 ( x2 ) with 6 month of Cam Plus included ( x2 ),,0,0,0,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WYZECFLP,Wyze Cam Floodlight Pro,,149.98,57.4,0.075,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
WLPA19C2PK,Wyze Bulb COLOR 2 Pack,,22.99,13.39,0.02,3/21/2025 19:41,Simon Zhu,3/21/2025 19:41,1
Scale_Elite,Elite,WSCALX,119,37.9,,4/2/2025 14:06,Alex Niu,4/2/2025 14:06,0
WYZECPAN4,Wyze Cam Pan v4,WYZECPAN3,49.98,22.6,0.615,4/3/2025 14:50,Simon Zhu,4/2/2025 15:30,0
WPLCK1,Wyze Palm Lock,WLCKB1,129.98,55,0.2,8/6/2025 8:27,Simon Zhu,4/3/2025 7:18,0
WYZEC-DUO-WH,Wyze Duo Cam Pan White,WYZECPAN3,59.98,25.45,0.075,4/4/2025 10:13,Marian Pan,4/4/2025 10:12,0
WVOD3,Wyze Cam Outdoor V3 (WCO v3),WYZECOP,79.98,30.49,0.375,10/1/2025 15:58,Simon Zhu,4/4/2025 11:38,0
WYZEBVD,Battery Video Doorbell Basic,WVDPC,54.98,25,0.1,2/5/2026 23:46,Marian Pan,4/7/2025 11:47,0
WVDB-DUO-BL,Wyze Video Doorbell Duo (Pro v2) Black,,119.98,51.28,0.193,12/16/2025 10:10,Marian Pan,4/7/2025 12:32,0
WYZEC-BC,Wyze Bulb Cam White,,49.98,24,0.2,9/2/2025 12:15,Simon Zhu,4/7/2025 14:55,0
WYZELS2,Wyze Lamp Socket v2,WYZELS1,16.98,4.2,0.477,4/8/2025 11:14,Meng Cheng,4/8/2025 10:52,0
WL_SCLUB,Scale Ultra Black,WL_SCLUB,43.99,18.9,0,4/8/2025 15:43,Marian Pan,4/8/2025 15:22,0
WLCKB2,Lock Bolt v2,WPLCK1,84.98,30,0.132,4/9/2025 13:35,Marian Pan,4/9/2025 13:34,0
WLPA19C2PK v3,Color Bulb Basic v3,WLPA19C2PK,17.99,6,0.02,4/9/2025 14:12,Marian Pan,4/9/2025 14:12,0
WYZECPANOG,Cam Pan OG,WYZECPAN3,29.98,13.8,0.1,4/17/2025 13:23,Simon Zhu,4/15/2025 14:01,0
WYZEC-BC-AB,Wyze Accessory Bulb (for Wyze Bulb Cam),WLPA19C2PK,16.98,6.9,0.12,5/5/2025 14:57,Meng Cheng,5/5/2025 14:57,0
WYZEC-BCP,Wyze Bulb Cam Pan,WYZEC4WH,79.98,32.8,0.275,11/13/2025 20:08,Meng Cheng,5/20/2025 23:34,0
WYZESNAPCAM,Snap Cam,WYZECGS,29.98,11.44,0.2,7/11/2025 10:41,Marian Pan,7/11/2025 10:41,0
WSHB1,HMS Wyze Sense Hub,WSES2-3PK,55.98,23.23,0.377,12/15/2025 12:16,Marian Pan,7/15/2025 11:28,0
WYZESLS31,HMS Wyze Sense Leak Sensor (3-pack + 1 Probe),WSES2-3PK,59.98,23.27,0.25,12/16/2025 0:42,Marian Pan,7/15/2025 11:46,0
WSMS2,HMS Wyze Sense Motion Sensor v2 - 1 Pack,WSES2-3PK,24.98,6.42,0.283,12/16/2025 0:40,Marian Pan,7/15/2025 12:09,0
WSCS3PK,HMS Wyze Sense Climate Sensor (3-pack),WSES2-3PK,44.98,17.23,0.075,12/16/2025 0:42,Marian Pan,7/15/2025 14:07,0
WSKP1,HMS Wyze Sense Keypad,WSES2-3PK,27.98,12.05,0.25,7/15/2025 16:01,Marian Pan,7/15/2025 16:01,0
WSLSP2,HMS Wyze Sense Leak Sensor Probe (2-Pack),WSES2-3PK,13.98,2.76,0.25,7/15/2025 16:14,Marian Pan,7/15/2025 16:14,0
WLPPO1-1,Wyze Plug Outdoor,WLPP1,24.98,6.65,0.277,7/16/2025 10:02,Marian Pan,7/16/2025 10:02,0
WLPA19CV2-2PK,"Wyze Bulb Color - A19 v2, 1100 lumens (2-Pack)",WLPA19C2PK,26.26,10.63,0.027,7/16/2025 10:33,Marian Pan,7/16/2025 10:29,0
WLPA19CV2-4PK,"Wyze Bulb Color - A19 v2, 1100 lumens (4-pack)",WLPA19CV2-2PK,44.44,21.53,0.027,7/16/2025 10:54,Marian Pan,7/16/2025 10:54,0
WYZEWCWH,Window Cam,WYZECGS,29.98,13,0.2,11/19/2025 8:36,Simon Zhu,8/5/2025 12:58,0
WYZEC_DUO_PAN_Tele,WYZE DUO CAM PAN Tele,WYZECPAN3,79.98,29,0.2,8/6/2025 12:05,Simon Zhu,8/6/2025 7:45,0
WYZEC_DUO_PAN_Pro,WYZE DUO CAM PAN Pro,WYZECPAN3,89.98,32,0.2,8/6/2025 12:05,Simon Zhu,8/6/2025 7:47,0
WYZEDASH,Wyze Dash Cam,WPLCK1,99.98,42.1,0.19,9/24/2025 14:11,Meng Cheng,8/26/2025 14:02,0
WYZEMN,Wyze Cam Mini,WYZEC4WH,19.9,6,20,9/4/2025 23:52,Na Ma,9/4/2025 23:52,0
WYZEC-BC-2PK,Bulb Cam 2pk,WYZEC-BC,99.96,50,0,9/25/2025 14:54,Simon Zhu,9/25/2025 14:54,0
Scale Lite,Scale Lite,WSCALS,19.99,5,0.3,9/26/2025 8:25,Simon Zhu,9/26/2025 8:25,0
WYZEC4_4K,Cam v4 4K,WYZEC4WH,49.98,20.7,0.2,10/2/2025 9:52,Simon Zhu,10/2/2025 9:52,0
WYZECPAN_LITE,Wyze Pan Lite,WYZECPAN3_BK,34.99,13.27,0.2,11/20/2025 12:26,Simon Zhu,11/20/2025 12:26,0
WDCDOBL,Wyze Duo Cam Doorbell Only (No Chime) Black,WVDB-DUO-BL,109,44.61,0.193,12/18/2025 0:10,Marian Pan,12/18/2025 0:10,0
Bulb Cam Pan,Bulb Cam Pan,WYZEC-BC,79.98,32.8,0.278,2/9/2026 12:02,Marian Pan,2/9/2026 12:02,0
OG V2,Wyze OG v2,WYZECGS,29.98,13.18,0.2,2/11/2026 1:41,Marian Pan,2/11/2026 1:41,0
Battery Cam Solar,Battery Cam Solar,WYZECOP,54.98,21.26,0.278,2/13/2026 11:40,Marian Pan,2/13/2026 11:26,0
